,data
679741,42.14775843408592
679868,34.928042124285646
679869,38.59420673056931
679981,0.04498201215739853
679982,0.11252110612216858
679983,0.08033670345681171
679984,0.24424701870653603
679985,0.8377428893497118
679986,3.8575089152050834
679991,42.31069042693435
679996,35.681545711844294
679997,36.50726300618917
680109,0.02928568220290853
680110,0.04455839842008408
680111,0.10783146143703361
680112,0.2334736663902299
680113,1.1001109449335071
680114,4.400234050954578
680119,42.51800299755044
680124,38.08264002758617
680125,36.76796087936826
680247,41.97252230221591
695862,37.18649596680018
695863,44.803960328659144
695864,48.64684810598839
695865,50.563809579501715
695868,49.03656000256674
695869,51.58501129571665
695973,3.6563430093804636e-06
695981,0.03001442976182558
695982,0.0788357739424388
695983,0.07498487916680602
695984,0.2900946167109881
695985,0.7562728353567543
695986,2.744433778312954
695990,42.87658820787467
695991,48.1780267104235
695992,50.512620560943844
695993,51.494883881249926
695994,51.23309887517636
695995,49.41821282315051
695996,49.64154909762901
695997,52.892898919537394
695998,55.03533862914175
696101,2.3538866411568782e-05
696109,0.03324552050465976
696110,0.07626723584421165
696111,0.11124132758980437
696112,0.26637443476642014
696113,0.9981787617459523
696114,4.59184460776824
696117,37.80421446427281
696118,45.11227477574226
696119,49.10523955444192
696120,51.35539715778559
696121,51.71410778485313
696122,49.56024927033229
696123,46.81212674586239
696124,46.51867588402838
696125,49.72740028419884
696126,53.46107207297177
696127,53.88229466776023
696128,50.56931113825337
696129,46.319710661844375
696237,0.051795500163575585
696238,0.08468298493586685
696239,0.1040946069412625
696240,0.2264030454743903
696241,1.149904503664696
696242,5.056624105587767
696245,37.300380265582
696246,44.48184050598767
696247,48.69776576327116
696248,50.885389011589965
696249,51.032556543932714
696250,48.49935329133332
696251,44.24795416076882
696252,42.89838199117128
696253,44.97802208608834
696254,48.93087770025033
696255,49.6712215179416
696256,46.647918044430604
696257,44.449283982933686
696258,42.341238096361266
696259,42.07786724332915
696260,46.884808972697805
696357,4.554392169579174e-06
696372,24.874698224257855
696373,35.83258994232419
696374,43.27932443446268
696375,47.77529136988239
696376,50.448127403671016
696377,51.12620075686375
696378,49.26044951443403
696379,46.079187291606836
696380,42.993293951830644
696381,42.18823330868561
696382,43.93004814578484
696383,43.410572762126826
696384,41.36790788099487
696385,42.215613982195016
696386,43.413864785109276
696387,44.916706361821745
696388,48.54715381687129
696500,26.218287245719253
696501,36.59257600200753
696502,43.06985303357604
696503,47.484352277850206
696504,50.327602008100435
696505,51.766373811334674
696506,51.92630357418783
696507,49.99352063504008
696508,46.3952385335905
696509,43.270302011439746
696510,42.16734423080769
696511,40.535831527245
696512,39.02294806462362
696513,41.9329659559056
696514,45.16600168425218
696515,47.2276716068069
696516,48.73469834912914
696629,38.18933340854221
696630,43.663727055716805
696631,47.69826858460446
696632,50.00297505318241
696633,51.85361101759612
696634,52.81244332774637
696635,52.073911121306914
696636,48.624078298338574
696637,46.098656856123014
696638,44.7142439618168
696639,42.80010541364679
696640,40.966713070882854
696641,42.072374242476755
696642,44.443363469760634
696643,45.898354519638644
696757,37.82609160588981
696758,43.295396783468476
696759,46.91566914641774
696760,49.45077930672271
696761,50.607531450544585
696762,52.4967153254626
696763,51.85848146829799
696764,49.66831337407463
696765,48.34442886689954
696887,44.12606711121043
712118,33.20982718885091
712119,43.33517011471215
712120,49.30399579271635
712121,51.68715762123884
712122,52.477546390264806
712123,51.461290621476174
712124,51.831552552568056
712125,53.45906275799182
712229,2.4479212204846814e-06
712245,29.479488182995198
712246,40.91312214464651
712247,49.59902187502052
712248,53.92422547175155
712249,55.42617426994892
712250,55.77512034251489
712251,54.53164505075003
712252,54.869081323245446
712253,56.673610859421935
712254,56.682695615654545
712255,54.85883693259963
712256,51.77979119199434
712257,48.067717085409726
712258,45.26731646879121
712259,44.97921928829939
712262,41.820498953937886
712359,8.54143435407428e-05
712360,3.320239092996318e-05
712361,0.00926078013430068
712362,0.004141450625516058
712363,0.021487317081018743
712364,0.02914704457837589
712372,21.535391363590602
712373,37.12708963218923
712374,47.13590682289194
712375,53.24972109565344
712376,56.40603985214105
712377,57.992269693670394
712378,58.03175885604551
712379,56.32127094705827
712380,56.5225000100343
712381,58.544029121020934
712382,58.10770871063488
712383,56.6094560728121
712384,52.996203765489405
712385,49.5158879098466
712386,46.476928232025195
712387,45.83896846178314
712388,50.275371298111985
712390,43.405102155218614
712486,5.604558396600205e-06
712487,0.002643645783708826
712488,0.004641100460072852
712489,0.003072361560476343
712490,0.005530163099283872
712491,0.02118308845658788
712492,0.03214880856900789
712499,14.936624812701242
712500,28.99355146474021
712501,41.94882948991649
712502,49.51665365770106
712503,54.6781916686636
712504,57.969541167611226
712505,60.09540949448072
712506,59.80894855696973
712507,56.91582832793075
712508,55.92341068400836
712509,57.53722787485997
712510,57.762432704824626
712511,56.28270767951426
712512,52.88763273528826
712513,49.52056329344509
712514,46.33717908504385
712515,45.9909103643123
712516,51.70620396949846
712518,42.71309903493843
712615,3.910809877935841e-06
712616,0.007515842217535302
712617,0.0048710873359437456
712618,0.013443244360630083
712619,0.019959793017951994
712620,0.03359768435185077
712627,16.100016326769293
712628,29.534546158213324
712629,41.729180777994884
712630,49.482038252360766
712631,55.247138430955374
712632,59.109827851226555
712633,60.784672919126734
712634,59.723121386212256
712635,56.67473197229042
712636,54.72585322735637
712637,54.31890365205395
712638,54.947298109140235
712639,54.13424086083808
712640,51.521306912654936
712641,49.999166329982
712642,48.62178766943686
712643,49.274522245051436
712644,54.38162229418828
712646,41.66773286892555
712743,4.250018753122473e-05
712744,0.005870934337395833
712745,0.008354460043275008
712746,0.005641966801401191
712747,0.034499303093666035
712748,0.03112234516934053
712754,5.851276014143353
712755,16.0270381566027
712756,28.630390159764804
712757,40.39383850479189
712758,48.62421331192848
712759,55.547668663331145
712760,59.63701217020762
712761,59.976161834450494
712762,58.4763526181975
712763,56.65460515068965
712764,53.96560475135819
712765,51.804432297683945
712766,52.04784632000779
712767,51.457948453060936
712768,49.95500002285265
712769,50.804531820150466
712770,52.04964136721688
712771,54.149157830353545
712772,57.534682171410076
712869,9.3768384317586e-06
712870,3.394287818585825e-06
